| table_name                  | column_name                      | data_type                   | character_maximum_length | is_nullable | column_default                                                      |
| bulk_enrollment_uploads     | processing_started_at            | timestamp with time zone    | null                     | YES         | null                                                                |
| bulk_enrollment_uploads     | processing_completed_at          | timestamp with time zone    | null                     | YES         | null                                                                |
| bulk_enrollment_uploads     | created_at                       | timestamp with time zone    | null                     | YES         | now()                                                               |
| class_placement_criteria    | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| class_placement_criteria    | school_id                        | uuid                        | null                     | NO          | null                                                                |
| class_placement_criteria    | placement_method                 | character varying           | 50                       | YES         | 'manual'::character varying                                         |
| class_placement_criteria    | use_previous_grades              | boolean                     | null                     | YES         | true                                                                |
| class_placement_criteria    | grade_weight                     | integer                     | null                     | YES         | 100                                                                 |
| class_placement_criteria    | subject_weights                  | jsonb                       | null                     | YES         | '{"maths": 30, "english": 30, "general": 20, "science": 20}'::jsonb |
| class_placement_criteria    | class_rankings                   | jsonb                       | null                     | YES         | null                                                                |
| class_placement_criteria    | allow_student_preference         | boolean                     | null                     | YES         | false                                                               |
| class_placement_criteria    | allow_parent_preference          | boolean                     | null                     | YES         | false                                                               |
| class_placement_criteria    | require_approval                 | boolean                     | null                     | YES         | true                                                                |
| class_placement_criteria    | placement_approvers              | jsonb                       | null                     | YES         | '["school_admin"]'::jsonb                                           |
| class_placement_criteria    | created_at                       | timestamp with time zone    | null                     | YES         | now()                                                               |
| class_placement_criteria    | updated_at                       | timestamp with time zone    | null                     | YES         | now()                                                               |
| class_placement_criteria    | updated_by                       | uuid                        | null                     | YES         | null                                                                |
| class_subject_assignments   | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| class_subject_assignments   | class_id                         | uuid                        | null                     | NO          | null                                                                |
| class_subject_assignments   | subject_id                       | uuid                        | null                     | NO          | null                                                                |
| class_subject_assignments   | teacher_id                       | uuid                        | null                     | YES         | null                                                                |
| class_subject_assignments   | created_at                       | timestamp without time zone | null                     | YES         | now()                                                               |
| class_subject_assignments   | created_by                       | uuid                        | null                     | YES         | null                                                                |
| classes                     | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| classes                     | school_id                        | uuid                        | null                     | NO          | null                                                                |
| classes                     | grade_level                      | character varying           | 50                       | NO          | null                                                                |
| classes                     | section                          | character varying           | 10                       | NO          | null                                                                |
| classes                     | academic_year                    | character varying           | 20                       | NO          | '2025'::character varying                                           |
| classes                     | class_teacher_id                 | uuid                        | null                     | YES         | null                                                                |
| classes                     | created_at                       | timestamp without time zone | null                     | YES         | now()                                                               |
| classes                     | updated_at                       | timestamp without time zone | null                     | YES         | now()                                                               |
| classes                     | max_capacity                     | integer                     | null                     | YES         | 40                                                                  |
| classes                     | class_rank                       | integer                     | null                     | YES         | null                                                                |
| enrollment_records          | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| enrollment_records          | student_id                       | uuid                        | null                     | YES         | null                                                                |
| enrollment_records          | parent_id                        | uuid                        | null                     | YES         | null                                                                |
| enrollment_records          | school_id                        | uuid                        | null                     | NO          | null                                                                |
| enrollment_records          | enrolled_by                      | uuid                        | null                     | YES         | null                                                                |
| enrollment_records          | enrollment_date                  | timestamp with time zone    | null                     | YES         | now()                                                               |
| enrollment_records          | enrollment_type                  | character varying           | 50                       | YES         | 'online'::character varying                                         |
| enrollment_records          | academic_year                    | character varying           | 20                       | YES         | null                                                                |
| enrollment_records          | term                             | character varying           | 20                       | YES         | null                                                                |
| enrollment_records          | class_id                         | uuid                        | null                     | YES         | null                                                                |
| enrollment_records          | placement_method                 | character varying           | 50                       | YES         | null                                                                |
| enrollment_records          | placement_notes                  | text                        | null                     | YES         | null                                                                |
| enrollment_records          | fees_status                      | character varying           | 50                       | YES         | 'pending'::character varying                                        |
| enrollment_records          | fees_slip_url                    | text                        | null                     | YES         | null                                                                |
| enrollment_records          | fees_slip_qr_code                | character varying           | 100                      | YES         | null                                                                |
| enrollment_records          | fees_amount_paid                 | numeric                     | null                     | YES         | 0                                                                   |
| enrollment_records          | fees_total_due                   | numeric                     | null                     | YES         | 0                                                                   |
| enrollment_records          | fees_payment_date                | timestamp with time zone    | null                     | YES         | null                                                                |
| enrollment_records          | fees_verified_by                 | uuid                        | null                     | YES         | null                                                                |
| enrollment_records          | fees_verification_notes          | text                        | null                     | YES         | null                                                                |
| enrollment_records          | previous_grades                  | jsonb                       | null                     | YES         | null                                                                |
| enrollment_records          | previous_school_name             | character varying           | 200                      | YES         | null                                                                |
| enrollment_records          | previous_class                   | character varying           | 50                       | YES         | null                                                                |
| enrollment_records          | transfer_certificate_url         | text                        | null                     | YES         | null                                                                |
| enrollment_records          | birth_certificate_url            | text                        | null                     | YES         | null                                                                |
| enrollment_records          | id_document_url                  | text                        | null                     | YES         | null                                                                |
| enrollment_records          | medical_certificate_url          | text                        | null                     | YES         | null                                                                |
| enrollment_records          | student_username                 | character varying           | 100                      | YES         | null                                                                |
| enrollment_records          | student_initial_password         | character varying           | 100                      | YES         | null                                                                |
| enrollment_records          | parent_username                  | character varying           | 100                      | YES         | null                                                                |
| enrollment_records          | parent_initial_password          | character varying           | 100                      | YES         | null                                                                |
| enrollment_records          | credentials_printed              | boolean                     | null                     | YES         | false                                                               |
| enrollment_records          | credentials_printed_at           | timestamp with time zone    | null                     | YES         | null                                                                |
| enrollment_records          | status                           | character varying           | 50                       | YES         | 'active'::character varying                                         |
| enrollment_records          | notes                            | text                        | null                     | YES         | null                                                                |
| enrollment_records          | created_at                       | timestamp with time zone    | null                     | YES         | now()                                                               |
| enrollment_records          | updated_at                       | timestamp with time zone    | null                     | YES         | now()                                                               |
| enrollment_records          | entry_status                     | text                        | null                     | YES         | 'new_primary'::text                                                 |
| enrollment_records          | form_name                        | text                        | null                     | YES         | null                                                                |
| enrollment_settings         | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| enrollment_settings         | school_id                        | uuid                        | null                     | NO          | null                                                                |
| enrollment_settings         | class_assignment_method          | text                        | null                     | YES         | 'auto_grade_based'::text                                            |
| enrollment_settings         | allow_manual_override            | boolean                     | null                     | YES         | true                                                                |
| enrollment_settings         | use_grade_based_placement        | boolean                     | null                     | YES         | true                                                                |
| enrollment_settings         | use_ai_placement                 | boolean                     | null                     | YES         | false                                                               |
| enrollment_settings         | require_birth_certificate        | boolean                     | null                     | YES         | true                                                                |
| enrollment_settings         | require_parent_id                | boolean                     | null                     | YES         | true                                                                |
| enrollment_settings         | require_student_id               | boolean                     | null                     | YES         | false                                                               |
| enrollment_settings         | require_fee_slip                 | boolean                     | null                     | YES         | true                                                                |
| enrollment_settings         | require_previous_school_report   | boolean                     | null                     | YES         | false                                                               |
| enrollment_settings         | username_format                  | text                        | null                     | YES         | 'surname_birthyear'::text                                           |
| enrollment_settings         | password_format                  | text                        | null                     | YES         | 'id_number'::text                                                   |
| enrollment_settings         | minimum_fee_percentage           | numeric                     | null                     | YES         | 0                                                                   |
| enrollment_settings         | allow_enrollment_without_payment | boolean                     | null                     | YES         | false                                                               |
| enrollment_settings         | notify_parent_on_enrollment      | boolean                     | null                     | YES         | true                                                                |
| enrollment_settings         | notify_admin_on_enrollment       | boolean                     | null                     | YES         | true                                                                |
| enrollment_settings         | send_welcome_email               | boolean                     | null                     | YES         | true                                                                |
| enrollment_settings         | allow_bulk_upload                | boolean                     | null                     | YES         | true                                                                |
| enrollment_settings         | bulk_upload_skip_fee_slip        | boolean                     | null                     | YES         | true                                                                |
| enrollment_settings         | created_at                       | timestamp with time zone    | null                     | YES         | now()                                                               |
| enrollment_settings         | updated_at                       | timestamp with time zone    | null                     | YES         | now()                                                               |
| exam_marking_periods        | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| exam_marking_periods        | school_id                        | uuid                        | null                     | NO          | null                                                                |
| exam_marking_periods        | term                             | character varying           | 50                       | NO          | null                                                                |
| exam_marking_periods        | academic_year                    | character varying           | 20                       | NO          | null                                                                |
| exam_marking_periods        | start_date                       | timestamp with time zone    | null                     | NO          | null                                                                |
| exam_marking_periods        | end_date                         | timestamp with time zone    | null                     | NO          | null                                                                |
| exam_marking_periods        | is_active                        | boolean                     | null                     | YES         | false                                                               |
| exam_marking_periods        | results_published                | boolean                     | null                     | YES         | false                                                               |
| exam_marking_periods        | published_at                     | timestamp with time zone    | null                     | YES         | null                                                                |
| exam_marking_periods        | published_by                     | uuid                        | null                     | YES         | null                                                                |
| exam_marking_periods        | created_by                       | uuid                        | null                     | YES         | null                                                                |
| exam_marking_periods        | created_at                       | timestamp with time zone    | null                     | YES         | now()                                                               |
| exam_marking_periods        | updated_at                       | timestamp with time zone    | null                     | YES         | now()                                                               |
| exam_results                | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| exam_results                | exam_id                          | uuid                        | null                     | NO          | null                                                                |
| exam_results                | student_id                       | uuid                        | null                     | NO          | null                                                                |
| exam_results                | marks_obtained                   | numeric                     | null                     | YES         | null                                                                |
| exam_results                | percentage                       | numeric                     | null                     | YES         | null                                                                |
| exam_results                | grade                            | character varying           | 2                        | YES         | null                                                                |
| exam_results                | remarks                          | text                        | null                     | YES         | null                                                                |
| exam_results                | graded_by                        | uuid                        | null                     | YES         | null                                                                |
| exam_results                | graded_at                        | timestamp without time zone | null                     | YES         | null                                                                |
| exam_results                | created_at                       | timestamp without time zone | null                     | YES         | now()                                                               |
| exam_results                | updated_at                       | timestamp without time zone | null                     | YES         | now()                                                               |
| exam_results                | comment                          | text                        | null                     | YES         | null                                                                |
| exam_results                | comment_type                     | character varying           | 20                       | YES         | 'manual'::character varying                                         |
| exams                       | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| exams                       | school_id                        | uuid                        | null                     | NO          | null                                                                |
| exams                       | class_id                         | uuid                        | null                     | NO          | null                                                                |
| exams                       | subject_id                       | uuid                        | null                     | NO          | null                                                                |
| exams                       | title                            | character varying           | 255                      | NO          | null                                                                |
| exams                       | description                      | text                        | null                     | YES         | null                                                                |
| exams                       | exam_date                        | date                        | null                     | NO          | null                                                                |
| exams                       | total_marks                      | integer                     | null                     | NO          | null                                                                |
| exams                       | created_by                       | uuid                        | null                     | NO          | null                                                                |
| exams                       | created_at                       | timestamp without time zone | null                     | YES         | now()                                                               |
| exams                       | updated_at                       | timestamp without time zone | null                     | YES         | now()                                                               |
| exams                       | exam_paper_url                   | text                        | null                     | YES         | null                                                                |
| exams                       | exam_paper_name                  | text                        | null                     | YES         | null                                                                |
| exams                       | marking_period_id                | uuid                        | null                     | YES         | null                                                                |
| exams                       | is_submitted                     | boolean                     | null                     | YES         | false                                                               |
| exams                       | submitted_at                     | timestamp with time zone    | null                     | YES         | null                                                                |
| exams                       | submitted_by                     | uuid                        | null                     | YES         | null                                                                |
| exams                       | teacher_id                       | uuid                        | null                     | YES         | null                                                                |
| fees_notifications          | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| fees_notifications          | student_id                       | uuid                        | null                     | NO          | null                                                                |
| fees_notifications          | parent_id                        | uuid                        | null                     | YES         | null                                                                |
| fees_notifications          | school_id                        | uuid                        | null                     | NO          | null                                                                |
| fees_notifications          | notification_type                | character varying           | 50                       | NO          | null                                                                |
| fees_notifications          | amount_due                       | numeric                     | null                     | NO          | null                                                                |
| fees_notifications          | message                          | text                        | null                     | YES         | null                                                                |
| fees_notifications          | sent_via                         | character varying           | 50                       | YES         | null                                                                |
| fees_notifications          | sent_at                          | timestamp with time zone    | null                     | YES         | null                                                                |
| fees_notifications          | delivered                        | boolean                     | null                     | YES         | false                                                               |
| fees_notifications          | read_at                          | timestamp with time zone    | null                     | YES         | null                                                                |
| fees_notifications          | created_at                       | timestamp with time zone    | null                     | YES         | now()                                                               |
| lesson_plans                | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| lesson_plans                | title                            | text                        | null                     | NO          | null                                                                |
| lesson_plans                | description                      | text                        | null                     | YES         | null                                                                |
| lesson_plans                | document_type                    | text                        | null                     | NO          | null                                                                |
| lesson_plans                | subject_id                       | uuid                        | null                     | YES         | null                                                                |
| lesson_plans                | class_id                         | uuid                        | null                     | YES         | null                                                                |
| lesson_plans                | file_url                         | text                        | null                     | NO          | null                                                                |
| lesson_plans                | file_name                        | text                        | null                     | NO          | null                                                                |
| lesson_plans                | period_start                     | date                        | null                     | YES         | null                                                                |
| lesson_plans                | period_end                       | date                        | null                     | YES         | null                                                                |
| lesson_plans                | uploaded_by                      | uuid                        | null                     | YES         | null                                                                |
| lesson_plans                | school_id                        | uuid                        | null                     | YES         | null                                                                |
| lesson_plans                | uploaded_at                      | timestamp with time zone    | null                     | YES         | now()                                                               |
| lesson_plans                | created_at                       | timestamp with time zone    | null                     | YES         | now()                                                               |
| notifications               | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| notifications               | recipient_id                     | uuid                        | null                     | YES         | null                                                                |
| notifications               | recipient_role                   | character varying           | 50                       | YES         | null                                                                |
| notifications               | school_id                        | uuid                        | null                     | YES         | null                                                                |
| notifications               | notification_type                | character varying           | 50                       | NO          | null                                                                |
| notifications               | title                            | character varying           | 255                      | NO          | null                                                                |
| notifications               | message                          | text                        | null                     | NO          | null                                                                |
| notifications               | action_url                       | text                        | null                     | YES         | null                                                                |
| notifications               | is_read                          | boolean                     | null                     | YES         | false                                                               |
| notifications               | read_at                          | timestamp without time zone | null                     | YES         | null                                                                |
| notifications               | priority                         | character varying           | 20                       | YES         | 'normal'::character varying                                         |
| notifications               | expires_at                       | timestamp without time zone | null                     | YES         | null                                                                |
| notifications               | created_at                       | timestamp without time zone | null                     | YES         | now()                                                               |
| profiles                    | id                               | uuid                        | null                     | NO          | null                                                                |
| profiles                    | email                            | character varying           | 255                      | NO          | null                                                                |
| profiles                    | username                         | character varying           | 100                      | NO          | null                                                                |
| profiles                    | full_name                        | character varying           | 255                      | NO          | null                                                                |
| profiles                    | role                             | character varying           | 50                       | NO          | null                                                                |
| profiles                    | school_id                        | uuid                        | null                     | YES         | null                                                                |
| profiles                    | created_at                       | timestamp without time zone | null                     | YES         | now()                                                               |
| profiles                    | updated_at                       | timestamp without time zone | null                     | YES         | now()                                                               |
| profiles                    | account_status                   | character varying           | 20                       | YES         | 'active'::character varying                                         |
| profiles                    | last_login_at                    | timestamp without time zone | null                     | YES         | null                                                                |
| profiles                    | phone_number                     | character varying           | 20                       | YES         | null                                                                |
| profiles                    | date_of_birth                    | date                        | null                     | YES         | null                                                                |
| profiles                    | gender                           | character varying           | 20                       | YES         | null                                                                |
| profiles                    | id_number                        | character varying           | 50                       | YES         | null                                                                |
| profiles                    | address                          | text                        | null                     | YES         | null                                                                |
| profiles                    | emergency_contact                | character varying           | 20                       | YES         | null                                                                |
| profiles                    | occupation                       | character varying           | 100                      | YES         | null                                                                |
| profiles                    | employer                         | character varying           | 200                      | YES         | null                                                                |
| profiles                    | work_phone                       | character varying           | 50                       | YES         | null                                                                |
| profiles                    | relationship_to_student          | character varying           | 50                       | YES         | null                                                                |
| school_admin_accounts       | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| school_admin_accounts       | user_id                          | uuid                        | null                     | YES         | null                                                                |
| school_admin_accounts       | school_id                        | uuid                        | null                     | YES         | null                                                                |
| school_admin_accounts       | account_number                   | character varying           | 50                       | NO          | null                                                                |
| school_admin_accounts       | initial_password                 | character varying           | 255                      | NO          | null                                                                |
| school_admin_accounts       | password_changed                 | boolean                     | null                     | YES         | false                                                               |
| school_admin_accounts       | last_login_at                    | timestamp without time zone | null                     | YES         | null                                                                |
| school_admin_accounts       | login_count                      | integer                     | null                     | YES         | 0                                                                   |
| school_admin_accounts       | account_status                   | character varying           | 20                       | YES         | 'active'::character varying                                         |
| school_admin_accounts       | created_by                       | uuid                        | null                     | YES         | null                                                                |
| school_admin_accounts       | created_at                       | timestamp without time zone | null                     | YES         | now()                                                               |
| school_admin_accounts       | updated_at                       | timestamp without time zone | null                     | YES         | now()                                                               |
| school_subscriptions        | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| school_subscriptions        | school_id                        | uuid                        | null                     | YES         | null                                                                |
| school_subscriptions        | subscription_tier                | character varying           | 50                       | NO          | null                                                                |
| school_subscriptions        | price                            | numeric                     | null                     | YES         | null                                                                |
| school_subscriptions        | currency                         | character varying           | 3                        | YES         | 'USD'::character varying                                            |
| school_subscriptions        | start_date                       | timestamp without time zone | null                     | NO          | null                                                                |
| school_subscriptions        | end_date                         | timestamp without time zone | null                     | NO          | null                                                                |
| school_subscriptions        | is_active                        | boolean                     | null                     | YES         | true                                                                |
| school_subscriptions        | payment_reference                | character varying           | 100                      | YES         | null                                                                |
| school_subscriptions        | payment_method                   | character varying           | 50                       | YES         | null                                                                |
| school_subscriptions        | notes                            | text                        | null                     | YES         | null                                                                |
| school_subscriptions        | created_by                       | uuid                        | null                     | YES         | null                                                                |
| school_subscriptions        | created_at                       | timestamp without time zone | null                     | YES         | now()                                                               |
| schools                     | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| schools                     | name                             | character varying           | 255                      | NO          | null                                                                |
| schools                     | school_code                      | character varying           | 50                       | NO          | null                                                                |
| schools                     | school_type                      | character varying           | 20                       | NO          | null                                                                |
| schools                     | address                          | text                        | null                     | YES         | null                                                                |
| schools                     | phone                            | character varying           | 20                       | YES         | null                                                                |
| schools                     | contact_email                    | character varying           | 255                      | YES         | null                                                                |
| schools                     | principal_name                   | character varying           | 255                      | YES         | null                                                                |
| schools                     | created_at                       | timestamp without time zone | null                     | YES         | now()                                                               |
| schools                     | updated_at                       | timestamp without time zone | null                     | YES         | now()                                                               |
| schools                     | principal_email                  | character varying           | 255                      | YES         | null                                                                |
| schools                     | principal_phone                  | character varying           | 20                       | YES         | null                                                                |
| schools                     | logo_url                         | text                        | null                     | YES         | null                                                                |
| schools                     | school_motto                     | text                        | null                     | YES         | null                                                                |
| schools                     | established_year                 | integer                     | null                     | YES         | null                                                                |
| schools                     | registration_number              | character varying           | 100                      | YES         | null                                                                |
| schools                     | curriculum                       | character varying           | 50                       | YES         | 'ZIMSEC'::character varying                                         |
| schools                     | total_capacity                   | integer                     | null                     | YES         | 500                                                                 |
| schools                     | current_enrollment               | integer                     | null                     | YES         | 0                                                                   |
| schools                     | status                           | character varying           | 20                       | YES         | 'active'::character varying                                         |
| schools                     | subscription_tier                | character varying           | 50                       | YES         | 'basic'::character varying                                          |
| schools                     | subscription_expires_at          | timestamp without time zone | null                     | YES         | null                                                                |
| schools                     | created_by                       | uuid                        | null                     | YES         | null                                                                |
| schools                     | updated_by                       | uuid                        | null                     | YES         | null                                                                |
| schools                     | academic_year                    | text                        | null                     | YES         | '2025'::text                                                        |
| student_enrollments         | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| student_enrollments         | school_id                        | uuid                        | null                     | YES         | null                                                                |
| student_enrollments         | student_id                       | uuid                        | null                     | YES         | null                                                                |
| student_enrollments         | student_user_id                  | uuid                        | null                     | YES         | null                                                                |
| student_enrollments         | student_full_name                | text                        | null                     | NO          | null                                                                |
| student_enrollments         | student_gender                   | text                        | null                     | YES         | null                                                                |
| student_enrollments         | student_birth_date               | date                        | null                     | YES         | null                                                                |
| student_enrollments         | student_nationality              | text                        | null                     | YES         | null                                                                |
| student_enrollments         | student_id_number                | text                        | null                     | YES         | null                                                                |
| student_enrollments         | student_birth_certificate_number | text                        | null                     | YES         | null                                                                |
| student_enrollments         | parent_id                        | uuid                        | null                     | YES         | null                                                                |
| student_enrollments         | parent_user_id                   | uuid                        | null                     | YES         | null                                                                |
| student_enrollments         | parent_full_name                 | text                        | null                     | NO          | null                                                                |
| student_enrollments         | parent_id_number                 | text                        | null                     | YES         | null                                                                |
| student_enrollments         | parent_phone_number              | text                        | null                     | YES         | null                                                                |
| student_enrollments         | parent_email                     | text                        | null                     | YES         | null                                                                |
| student_enrollments         | parent_address                   | text                        | null                     | YES         | null                                                                |
| student_enrollments         | parent_relationship              | text                        | null                     | YES         | null                                                                |
| student_enrollments         | class_id                         | uuid                        | null                     | YES         | null                                                                |
| student_enrollments         | class_name                       | text                        | null                     | YES         | null                                                                |
| student_enrollments         | form_name                        | text                        | null                     | YES         | null                                                                |
| student_enrollments         | entry_status                     | text                        | null                     | YES         | 'new_primary'::text                                                 |
| student_enrollments         | academic_year                    | text                        | null                     | YES         | null                                                                |
| student_enrollments         | term                             | text                        | null                     | YES         | null                                                                |
| student_enrollments         | previous_school_name             | text                        | null                     | YES         | null                                                                |
| student_enrollments         | curriculum                       | text                        | null                     | YES         | null                                                                |
| student_enrollments         | student_username                 | text                        | null                     | YES         | null                                                                |
| student_enrollments         | student_initial_password         | text                        | null                     | YES         | null                                                                |
| student_enrollments         | parent_username                  | text                        | null                     | YES         | null                                                                |
| student_enrollments         | parent_initial_password          | text                        | null                     | YES         | null                                                                |
| student_enrollments         | accounts_created                 | boolean                     | null                     | YES         | false                                                               |
| student_enrollments         | enrollment_status                | text                        | null                     | YES         | 'pending'::text                                                     |
| student_enrollments         | enrollment_date                  | date                        | null                     | YES         | CURRENT_DATE                                                        |
| student_enrollments         | enrolled_by                      | uuid                        | null                     | YES         | null                                                                |
| student_enrollments         | enrollment_number                | text                        | null                     | YES         | null                                                                |
| student_enrollments         | fee_slip_id                      | uuid                        | null                     | YES         | null                                                                |
| student_enrollments         | initial_fee_amount               | numeric                     | null                     | YES         | 0                                                                   |
| student_enrollments         | created_at                       | timestamp with time zone    | null                     | YES         | now()                                                               |
| student_enrollments         | updated_at                       | timestamp with time zone    | null                     | YES         | now()                                                               |
| student_fees                | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| student_fees                | student_id                       | uuid                        | null                     | NO          | null                                                                |
| student_fees                | school_id                        | uuid                        | null                     | NO          | null                                                                |
| student_fees                | enrollment_record_id             | uuid                        | null                     | YES         | null                                                                |
| student_fees                | fee_type                         | character varying           | 100                      | NO          | null                                                                |
| student_fees                | amount                           | numeric                     | null                     | NO          | null                                                                |
| student_fees                | currency                         | character varying           | 10                       | YES         | 'USD'::character varying                                            |
| student_fees                | academic_year                    | character varying           | 20                       | YES         | null                                                                |
| student_fees                | term                             | character varying           | 20                       | YES         | null                                                                |
| student_fees                | payment_status                   | character varying           | 50                       | YES         | 'pending'::character varying                                        |
| student_fees                | amount_paid                      | numeric                     | null                     | YES         | 0                                                                   |
| student_fees                | balance_due                      | numeric                     | null                     | YES         | null                                                                |
| student_fees                | due_date                         | date                        | null                     | YES         | null                                                                |
| student_fees                | payment_slip_url                 | text                        | null                     | YES         | null                                                                |
| student_fees                | payment_slip_qr_code             | character varying           | 100                      | YES         | null                                                                |
| student_fees                | payment_reference                | character varying           | 100                      | YES         | null                                                                |
| student_fees                | payment_method                   | character varying           | 50                       | YES         | null                                                                |
| student_fees                | verified_by                      | uuid                        | null                     | YES         | null                                                                |
| student_fees                | verified_at                      | timestamp with time zone    | null                     | YES         | null                                                                |
| student_fees                | created_at                       | timestamp with time zone    | null                     | YES         | now()                                                               |
| student_fees                | updated_at                       | timestamp with time zone    | null                     | YES         | now()                                                               |
| students                    | id                               | uuid                        | null                     | NO          | gen_random_uuid()                                                   |
| students                    | user_id                          | uuid                        | null                     | NO          | null                                                                |
| students                    | class_id                         | uuid                        | null                     | YES         | null                                                                |
| students                    | parent_id                        | uuid                        | null                     | YES         | null                                                                |
| students                    | admission_date                   | date                        | null                     | YES         | CURRENT_DATE                                                        |
| students                    | created_at                       | timestamp without time zone | null                     | YES         | now()                                                               |
| students                    | updated_at                       | timestamp without time zone | null                     | YES         | now()                                                               |
| students                    | roll_number                      | character varying           | 20                       | YES         | null                                                                |
| students                    | school_id                        | uuid                        | null                     | YES         | null                                                                |
| students                    | admission_number                 | character varying           | 50                       | YES         | null                                                                |
| students                    | birth_date                       | date                        | null                     | YES         | null                                                                |
| students                    | gender                           | character varying           | 20                       | YES         | null                                                                |
