-- DATABASE SCHEMA ANALYSIS - SmartSchools ERP
-- =====================================================

-- ALL TABLES WITH BASIC INFORMATION

| table_name                  | table_type | total_size | column_count | has_primary_key |
| --------------------------- | ---------- | ---------- | ------------ | --------------- |
| assignment_submissions      | BASE TABLE | 48 kB      | 11           | 1               |
| assignments                 | BASE TABLE | 112 kB     | 12           | 1               |
| attendance                  | BASE TABLE | 160 kB     | 10           | 1               |
| class_subject_assignments   | BASE TABLE | 104 kB     | 6            | 1               |
| classes                     | BASE TABLE | 72 kB      | 8            | 1               |
| exam_results                | BASE TABLE | 160 kB     | 11           | 1               |
| exams                       | BASE TABLE | 80 kB      | 11           | 1               |
| lesson_plans                | BASE TABLE | 112 kB     | 14           | 1               |
| notifications               | BASE TABLE | 56 kB      | 13           | 1               |
| profiles                    | BASE TABLE | 848 kB     | 16           | 1               |
| school_admin_accounts       | BASE TABLE | 48 kB      | 12           | 1               |
| school_details_view         | VIEW       | 0 bytes    | 23           | 0               |
| school_subscriptions        | BASE TABLE | 40 kB      | 13           | 1               |
| schools                     | BASE TABLE | 672 kB     | 24           | 1               |
| students                    | BASE TABLE | 1376 kB    | 21           | 1               |
| subjects                    | BASE TABLE | 56 kB      | 5            | 1               |
| super_admin_dashboard_stats | VIEW       | 0 bytes    | 17           | 0               |
| system_audit_log            | BASE TABLE | 56 kB      | 12           | 1               |
| system_settings             | BASE TABLE | 80 kB      | 9            | 1               |
| teacher_subject_assignments | BASE TABLE | 72 kB      | 9            | 1               |

-- ALL TABLES WITH COLUMN NAMES
| table_name                  | column_name              | data_type                   | is_nullable |
| attendance                  | marked_at                | timestamp with time zone    | YES         |
| attendance                  | created_at               | timestamp with time zone    | YES         |
| class_subject_assignments   | id                       | uuid                        | NO          |
| class_subject_assignments   | class_id                 | uuid                        | NO          |
| class_subject_assignments   | subject_id               | uuid                        | NO          |
| class_subject_assignments   | teacher_id               | uuid                        | YES         |
| class_subject_assignments   | created_at               | timestamp without time zone | YES         |
| class_subject_assignments   | created_by               | uuid                        | YES         |
| classes                     | id                       | uuid                        | NO          |
| classes                     | school_id                | uuid                        | NO          |
| classes                     | grade_level              | character varying           | NO          |
| classes                     | section                  | character varying           | NO          |
| classes                     | academic_year            | character varying           | NO          |
| classes                     | class_teacher_id         | uuid                        | YES         |
| classes                     | created_at               | timestamp without time zone | YES         |
| classes                     | updated_at               | timestamp without time zone | YES         |
| exam_results                | id                       | uuid                        | NO          |
| exam_results                | exam_id                  | uuid                        | NO          |
| exam_results                | student_id               | uuid                        | NO          |
| exam_results                | marks_obtained           | numeric                     | YES         |
| exam_results                | percentage               | numeric                     | YES         |
| exam_results                | grade                    | character varying           | YES         |
| exam_results                | remarks                  | text                        | YES         |
| exam_results                | graded_by                | uuid                        | YES         |
| exam_results                | graded_at                | timestamp without time zone | YES         |
| exam_results                | created_at               | timestamp without time zone | YES         |
| exam_results                | updated_at               | timestamp without time zone | YES         |
| exams                       | id                       | uuid                        | NO          |
| exams                       | school_id                | uuid                        | NO          |
| exams                       | class_id                 | uuid                        | NO          |
| exams                       | subject_id               | uuid                        | NO          |
| exams                       | title                    | character varying           | NO          |
| exams                       | description              | text                        | YES         |
| exams                       | exam_date                | date                        | NO          |
| exams                       | total_marks              | integer                     | NO          |
| exams                       | created_by               | uuid                        | NO          |
| exams                       | created_at               | timestamp without time zone | YES         |
| exams                       | updated_at               | timestamp without time zone | YES         |
| lesson_plans                | id                       | uuid                        | NO          |
| lesson_plans                | title                    | text                        | NO          |
| lesson_plans                | description              | text                        | YES         |
| lesson_plans                | document_type            | text                        | NO          |
| lesson_plans                | subject_id               | uuid                        | YES         |
| lesson_plans                | class_id                 | uuid                        | YES         |
| lesson_plans                | file_url                 | text                        | NO          |
| lesson_plans                | file_name                | text                        | NO          |
| lesson_plans                | period_start             | date                        | YES         |
| lesson_plans                | period_end               | date                        | YES         |
| lesson_plans                | uploaded_by              | uuid                        | YES         |
| lesson_plans                | school_id                | uuid                        | YES         |
| lesson_plans                | uploaded_at              | timestamp with time zone    | YES         |
| lesson_plans                | created_at               | timestamp with time zone    | YES         |
| notifications               | id                       | uuid                        | NO          |
| notifications               | recipient_id             | uuid                        | YES         |
| notifications               | recipient_role           | character varying           | YES         |
| notifications               | school_id                | uuid                        | YES         |
| notifications               | notification_type        | character varying           | NO          |
| notifications               | title                    | character varying           | NO          |
| notifications               | message                  | text                        | NO          |
| notifications               | action_url               | text                        | YES         |
| notifications               | is_read                  | boolean                     | YES         |
| notifications               | read_at                  | timestamp without time zone | YES         |
| notifications               | priority                 | character varying           | YES         |
| notifications               | expires_at               | timestamp without time zone | YES         |
| notifications               | created_at               | timestamp without time zone | YES         |
| profiles                    | id                       | uuid                        | NO          |
| profiles                    | email                    | character varying           | NO          |
| profiles                    | username                 | character varying           | NO          |
| profiles                    | full_name                | character varying           | NO          |
| profiles                    | role                     | character varying           | NO          |
| profiles                    | school_id                | uuid                        | YES         |
| profiles                    | created_at               | timestamp without time zone | YES         |
| profiles                    | updated_at               | timestamp without time zone | YES         |
| profiles                    | account_status           | character varying           | YES         |
| profiles                    | last_login_at            | timestamp without time zone | YES         |
| profiles                    | phone_number             | character varying           | YES         |
| profiles                    | date_of_birth            | date                        | YES         |
| profiles                    | gender                   | character varying           | YES         |
| profiles                    | id_number                | character varying           | YES         |
| profiles                    | address                  | text                        | YES         |
| profiles                    | emergency_contact        | character varying           | YES         |
| school_admin_accounts       | id                       | uuid                        | NO          |
| school_admin_accounts       | user_id                  | uuid                        | YES         |
| school_admin_accounts       | school_id                | uuid                        | YES         |
| school_admin_accounts       | account_number           | character varying           | NO          |
| school_admin_accounts       | initial_password         | character varying           | NO          |
| school_admin_accounts       | password_changed         | boolean                     | YES         |
| school_admin_accounts       | last_login_at            | timestamp without time zone | YES         |
| school_admin_accounts       | login_count              | integer                     | YES         |
| school_admin_accounts       | account_status           | character varying           | YES         |
| school_admin_accounts       | created_by               | uuid                        | YES         |
| school_admin_accounts       | created_at               | timestamp without time zone | YES         |
| school_admin_accounts       | updated_at               | timestamp without time zone | YES         |
| school_details_view         | id                       | uuid                        | YES         |
| school_details_view         | name                     | character varying           | YES         |
| school_details_view         | school_code              | character varying           | YES         |
| school_details_view         | school_type              | character varying           | YES         |
| school_details_view         | status                   | character varying           | YES         |
| school_details_view         | subscription_tier        | character varying           | YES         |
| school_details_view         | subscription_expires_at  | timestamp without time zone | YES         |
| school_details_view         | current_enrollment       | integer                     | YES         |
| school_details_view         | total_capacity           | integer                     | YES         |
| school_details_view         | capacity_percentage      | numeric                     | YES         |
| school_details_view         | address                  | text                        | YES         |
| school_details_view         | phone                    | character varying           | YES         |
| school_details_view         | contact_email            | character varying           | YES         |
| school_details_view         | principal_name           | character varying           | YES         |
| school_details_view         | principal_email          | character varying           | YES         |
| school_details_view         | principal_phone          | character varying           | YES         |
| school_details_view         | curriculum               | character varying           | YES         |
| school_details_view         | established_year         | integer                     | YES         |
| school_details_view         | created_at               | timestamp without time zone | YES         |
| school_details_view         | admin_count              | bigint                      | YES         |
| school_details_view         | teacher_count            | bigint                      | YES         |
| school_details_view         | class_count              | bigint                      | YES         |
| school_details_view         | subject_count            | bigint                      | YES         |
| school_subscriptions        | id                       | uuid                        | NO          |
| school_subscriptions        | school_id                | uuid                        | YES         |
| school_subscriptions        | subscription_tier        | character varying           | NO          |
| school_subscriptions        | price                    | numeric                     | YES         |
| school_subscriptions        | currency                 | character varying           | YES         |
| school_subscriptions        | start_date               | timestamp without time zone | NO          |
| school_subscriptions        | end_date                 | timestamp without time zone | NO          |
| school_subscriptions        | is_active                | boolean                     | YES         |
| school_subscriptions        | payment_reference        | character varying           | YES         |
| school_subscriptions        | payment_method           | character varying           | YES         |
| school_subscriptions        | notes                    | text                        | YES         |
| school_subscriptions        | created_by               | uuid                        | YES         |
| school_subscriptions        | created_at               | timestamp without time zone | YES         |
| schools                     | id                       | uuid                        | NO          |
| schools                     | name                     | character varying           | NO          |
| schools                     | school_code              | character varying           | NO          |
| schools                     | school_type              | character varying           | NO          |
| schools                     | address                  | text                        | YES         |
| schools                     | phone                    | character varying           | YES         |
| schools                     | contact_email            | character varying           | YES         |
| schools                     | principal_name           | character varying           | YES         |
| schools                     | created_at               | timestamp without time zone | YES         |
| schools                     | updated_at               | timestamp without time zone | YES         |
| schools                     | principal_email          | character varying           | YES         |
| schools                     | principal_phone          | character varying           | YES         |
| schools                     | logo_url                 | text                        | YES         |
| schools                     | school_motto             | text                        | YES         |
| schools                     | established_year         | integer                     | YES         |
| schools                     | registration_number      | character varying           | YES         |
| schools                     | curriculum               | character varying           | YES         |
| schools                     | total_capacity           | integer                     | YES         |
| schools                     | current_enrollment       | integer                     | YES         |
| schools                     | status                   | character varying           | YES         |
| schools                     | subscription_tier        | character varying           | YES         |
| schools                     | subscription_expires_at  | timestamp without time zone | YES         |
| schools                     | created_by               | uuid                        | YES         |
| schools                     | updated_by               | uuid                        | YES         |
| students                    | id                       | uuid                        | NO          |
| students                    | user_id                  | uuid                        | NO          |
| students                    | class_id                 | uuid                        | YES         |
| students                    | parent_id                | uuid                        | YES         |
| students                    | admission_date           | date                        | YES         |
| students                    | created_at               | timestamp without time zone | YES         |
| students                    | updated_at               | timestamp without time zone | YES         |
| students                    | roll_number              | character varying           | YES         |
| students                    | school_id                | uuid                        | YES         |
| students                    | admission_number         | character varying           | YES         |
| students                    | birth_date               | date                        | YES         |
| students                    | gender                   | character varying           | YES         |
| students                    | nationality              | character varying           | YES         |
| students                    | id_number                | character varying           | YES         |
| students                    | birth_certificate_number | character varying           | YES         |
| students                    | address                  | text                        | YES         |
| students                    | emergency_contact        | character varying           | YES         |
| students                    | emergency_contact_name   | character varying           | YES         |
| students                    | medical_conditions       | text                        | YES         |
| students                    | previous_school          | character varying           | YES         |
| students                    | student_status           | character varying           | YES         |
| subjects                    | id                       | uuid                        | NO          |
| subjects                    | school_id                | uuid                        | NO          |
| subjects                    | name                     | character varying           | NO          |
| subjects                    | code                     | character varying           | NO          |
| subjects                    | created_at               | timestamp without time zone | YES         |
| super_admin_dashboard_stats | active_schools           | bigint                      | YES         |
| super_admin_dashboard_stats | suspended_schools        | bigint                      | YES         |
| super_admin_dashboard_stats | closed_schools           | bigint                      | YES         |
| super_admin_dashboard_stats | total_schools            | bigint                      | YES         |
| super_admin_dashboard_stats | total_super_admins       | bigint                      | YES         |
| super_admin_dashboard_stats | total_school_admins      | bigint                      | YES         |
| super_admin_dashboard_stats | total_teachers           | bigint                      | YES         |
| super_admin_dashboard_stats | total_students           | bigint                      | YES         |
| super_admin_dashboard_stats | total_parents            | bigint                      | YES         |
| super_admin_dashboard_stats | actions_last_24h         | bigint                      | YES         |
| super_admin_dashboard_stats | actions_last_week        | bigint                      | YES         |
| super_admin_dashboard_stats | actions_last_month       | bigint                      | YES         |
| super_admin_dashboard_stats | expired_subscriptions    | bigint                      | YES         |
| super_admin_dashboard_stats | expiring_soon            | bigint                      | YES         |
| super_admin_dashboard_stats | basic_tier_count         | bigint                      | YES         |
| super_admin_dashboard_stats | premium_tier_count       | bigint                      | YES         |
| super_admin_dashboard_stats | enterprise_tier_count    | bigint                      | YES         |
| system_audit_log            | id                       | uuid                        | NO          |
| system_audit_log            | action_type              | character varying           | NO          |
| system_audit_log            | entity_type              | character varying           | NO          |
| system_audit_log            | entity_id                | uuid                        | YES         |
| system_audit_log            | performed_by             | uuid                        | YES         |
| system_audit_log            | performed_by_name        | character varying           | YES         |
| system_audit_log            | performed_by_role        | character varying           | YES         |
| system_audit_log            | action_details           | jsonb                       | YES         |
| system_audit_log            | ip_address               | character varying           | YES         |
| system_audit_log            | user_agent               | text                        | YES         |
| system_audit_log            | school_id                | uuid                        | YES         |
| system_audit_log            | created_at               | timestamp without time zone | YES         |
| system_settings             | id                       | uuid                        | NO          |
| system_settings             | setting_key              | character varying           | NO          |
| system_settings             | setting_value            | jsonb                       | NO          |
| system_settings             | setting_category         | character varying           | NO          |
| system_settings             | description              | text                        | YES         |
| system_settings             | is_public                | boolean                     | YES         |
| system_settings             | updated_by               | uuid                        | YES         |
| system_settings             | updated_at               | timestamp without time zone | YES         |
| system_settings             | created_at               | timestamp without time zone | YES         |
| teacher_subject_assignments | id                       | uuid                        | NO          |
| teacher_subject_assignments | teacher_id               | uuid                        | NO          |
| teacher_subject_assignments | subject_id               | uuid                        | NO          |
| teacher_subject_assignments | school_id                | uuid                        | NO          |
| teacher_subject_assignments | assignment_level         | character varying           | NO          |
| teacher_subject_assignments | grade_level              | character varying           | YES         |
| teacher_subject_assignments | section                  | character varying           | YES         |
| teacher_subject_assignments | created_at               | timestamp without time zone | YES         |
| teacher_subject_assignments | created_by               | uuid                        | YES         |

-- ALL PRIMARY KEYS IN THE DATABASE
| table_name                  | primary_key_column | constraint_name                  |
| --------------------------- | ------------------ | -------------------------------- |
| assignment_submissions      | id                 | assignment_submissions_pkey      |
| assignments                 | id                 | assignments_pkey                 |
| attendance                  | id                 | attendance_pkey                  |
| audit_log_entries           | id                 | audit_log_entries_pkey           |
| buckets                     | id                 | buckets_pkey                     |
| buckets_analytics           | id                 | buckets_analytics_pkey           |
| class_subject_assignments   | id                 | class_subject_assignments_pkey   |
| classes                     | id                 | classes_pkey                     |
| exam_results                | id                 | exam_results_pkey                |
| exams                       | id                 | exams_pkey                       |
| flow_state                  | id                 | flow_state_pkey                  |
| identities                  | id                 | identities_pkey                  |
| instances                   | id                 | instances_pkey                   |
| lesson_plans                | id                 | lesson_plans_pkey                |
| messages                    | id                 | messages_pkey                    |
| messages                    | inserted_at        | messages_pkey                    |
| mfa_amr_claims              | id                 | amr_id_pk                        |
| mfa_challenges              | id                 | mfa_challenges_pkey              |
| mfa_factors                 | id                 | mfa_factors_pkey                 |
| notifications               | id                 | notifications_pkey               |
| oauth_authorizations        | id                 | oauth_authorizations_pkey        |
| oauth_clients               | id                 | oauth_clients_pkey               |
| oauth_consents              | id                 | oauth_consents_pkey              |
| objects                     | id                 | objects_pkey                     |
| one_time_tokens             | id                 | one_time_tokens_pkey             |
| prefixes                    | name               | prefixes_pkey                    |
| prefixes                    | bucket_id          | prefixes_pkey                    |
| prefixes                    | level              | prefixes_pkey                    |
| profiles                    | id                 | profiles_pkey                    |
| refresh_tokens              | id                 | refresh_tokens_pkey              |
| s3_multipart_uploads        | id                 | s3_multipart_uploads_pkey        |
| s3_multipart_uploads_parts  | id                 | s3_multipart_uploads_parts_pkey  |
| saml_providers              | id                 | saml_providers_pkey              |
| saml_relay_states           | id                 | saml_relay_states_pkey           |
| schema_migrations           | version            | schema_migrations_pkey           |
| schema_migrations           | version            | schema_migrations_pkey           |
| school_admin_accounts       | id                 | school_admin_accounts_pkey       |
| school_subscriptions        | id                 | school_subscriptions_pkey        |
| schools                     | id                 | schools_pkey                     |
| secrets                     | id                 | secrets_pkey                     |
| sessions                    | id                 | sessions_pkey                    |
| sso_domains                 | id                 | sso_domains_pkey                 |
| sso_providers               | id                 | sso_providers_pkey               |
| students                    | id                 | students_pkey                    |
| subjects                    | id                 | subjects_pkey                    |
| subscription                | id                 | pk_subscription                  |
| system_audit_log            | id                 | system_audit_log_pkey            |
| system_settings             | id                 | system_settings_pkey             |
| teacher_subject_assignments | id                 | teacher_subject_assignments_pkey |
| users                       | id                 | users_pkey                       |


-- ALL FOREIGN KEYS IN THE DATABASE
| source_table                | source_column    | target_table | target_column | constraint_name                             | delete_rule | update_rule |
| --------------------------- | ---------------- | ------------ | ------------- | ------------------------------------------- | ----------- | ----------- |
| assignment_submissions      | assignment_id    | assignments  | id            | assignment_submissions_assignment_id_fkey   | CASCADE     | NO ACTION   |
| assignment_submissions      | graded_by        | profiles     | id            | assignment_submissions_graded_by_fkey       | SET NULL    | NO ACTION   |
| assignment_submissions      | student_id       | students     | id            | assignment_submissions_student_id_fkey      | CASCADE     | NO ACTION   |
| assignments                 | class_id         | classes      | id            | assignments_class_id_fkey                   | CASCADE     | NO ACTION   |
| assignments                 | created_by       | profiles     | id            | assignments_created_by_fkey                 | CASCADE     | NO ACTION   |
| assignments                 | school_id        | schools      | id            | assignments_school_id_fkey                  | CASCADE     | NO ACTION   |
| assignments                 | subject_id       | subjects     | id            | assignments_subject_id_fkey                 | CASCADE     | NO ACTION   |
| attendance                  | class_id         | classes      | id            | attendance_class_id_fkey                    | CASCADE     | NO ACTION   |
| attendance                  | marked_by        | profiles     | id            | attendance_marked_by_fkey                   | CASCADE     | NO ACTION   |
| attendance                  | school_id        | schools      | id            | attendance_school_id_fkey                   | CASCADE     | NO ACTION   |
| attendance                  | student_id       | students     | id            | attendance_student_id_fkey                  | CASCADE     | NO ACTION   |
| class_subject_assignments   | class_id         | classes      | id            | class_subject_assignments_class_id_fkey     | CASCADE     | NO ACTION   |
| class_subject_assignments   | created_by       | profiles     | id            | class_subject_assignments_created_by_fkey   | NO ACTION   | NO ACTION   |
| class_subject_assignments   | subject_id       | subjects     | id            | class_subject_assignments_subject_id_fkey   | CASCADE     | NO ACTION   |
| class_subject_assignments   | teacher_id       | profiles     | id            | class_subject_assignments_teacher_id_fkey   | SET NULL    | NO ACTION   |
| classes                     | class_teacher_id | profiles     | id            | classes_class_teacher_id_fkey               | SET NULL    | NO ACTION   |
| classes                     | school_id        | schools      | id            | classes_school_id_fkey                      | CASCADE     | NO ACTION   |
| exam_results                | exam_id          | exams        | id            | exam_results_exam_id_fkey                   | CASCADE     | NO ACTION   |
| exam_results                | graded_by        | profiles     | id            | exam_results_graded_by_fkey                 | NO ACTION   | NO ACTION   |
| exam_results                | student_id       | students     | id            | exam_results_student_id_fkey                | CASCADE     | NO ACTION   |
| exams                       | class_id         | classes      | id            | exams_class_id_fkey                         | CASCADE     | NO ACTION   |
| exams                       | created_by       | profiles     | id            | exams_created_by_fkey                       | NO ACTION   | NO ACTION   |
| exams                       | school_id        | schools      | id            | exams_school_id_fkey                        | CASCADE     | NO ACTION   |
| exams                       | subject_id       | subjects     | id            | exams_subject_id_fkey                       | CASCADE     | NO ACTION   |
| lesson_plans                | class_id         | classes      | id            | lesson_plans_class_id_fkey                  | CASCADE     | NO ACTION   |
| lesson_plans                | school_id        | schools      | id            | lesson_plans_school_id_fkey                 | CASCADE     | NO ACTION   |
| lesson_plans                | subject_id       | subjects     | id            | lesson_plans_subject_id_fkey                | CASCADE     | NO ACTION   |
| lesson_plans                | uploaded_by      | profiles     | id            | lesson_plans_uploaded_by_fkey               | CASCADE     | NO ACTION   |
| notifications               | recipient_id     | profiles     | id            | notifications_recipient_id_fkey             | CASCADE     | NO ACTION   |
| notifications               | school_id        | schools      | id            | notifications_school_id_fkey                | CASCADE     | NO ACTION   |
| profiles                    | school_id        | schools      | id            | profiles_school_id_fkey                     | SET NULL    | NO ACTION   |
| school_admin_accounts       | created_by       | profiles     | id            | school_admin_accounts_created_by_fkey       | SET NULL    | NO ACTION   |
| school_admin_accounts       | school_id        | schools      | id            | school_admin_accounts_school_id_fkey        | CASCADE     | NO ACTION   |
| school_admin_accounts       | user_id          | profiles     | id            | school_admin_accounts_user_id_fkey          | CASCADE     | NO ACTION   |
| school_subscriptions        | created_by       | profiles     | id            | school_subscriptions_created_by_fkey        | SET NULL    | NO ACTION   |
| school_subscriptions        | school_id        | schools      | id            | school_subscriptions_school_id_fkey         | CASCADE     | NO ACTION   |
| schools                     | created_by       | profiles     | id            | schools_created_by_fkey                     | SET NULL    | NO ACTION   |
| schools                     | updated_by       | profiles     | id            | schools_updated_by_fkey                     | SET NULL    | NO ACTION   |
| students                    | class_id         | classes      | id            | students_class_id_fkey                      | SET NULL    | NO ACTION   |
| students                    | parent_id        | profiles     | id            | students_parent_id_fkey                     | SET NULL    | NO ACTION   |
| students                    | school_id        | schools      | id            | students_school_id_fkey                     | SET NULL    | NO ACTION   |
| students                    | user_id          | profiles     | id            | students_user_id_fkey                       | CASCADE     | NO ACTION   |
| subjects                    | school_id        | schools      | id            | subjects_school_id_fkey                     | CASCADE     | NO ACTION   |
| system_audit_log            | performed_by     | profiles     | id            | system_audit_log_performed_by_fkey          | SET NULL    | NO ACTION   |
| system_audit_log            | school_id        | schools      | id            | system_audit_log_school_id_fkey             | SET NULL    | NO ACTION   |
| system_settings             | updated_by       | profiles     | id            | system_settings_updated_by_fkey             | SET NULL    | NO ACTION   |
| teacher_subject_assignments | created_by       | profiles     | id            | teacher_subject_assignments_created_by_fkey | NO ACTION   | NO ACTION   |
| teacher_subject_assignments | school_id        | schools      | id            | teacher_subject_assignments_school_id_fkey  | CASCADE     | NO ACTION   |
| teacher_subject_assignments | subject_id       | subjects     | id            | teacher_subject_assignments_subject_id_fkey | CASCADE     | NO ACTION   |
| teacher_subject_assignments | teacher_id       | profiles     | id            | teacher_subject_assignments_teacher_id_fkey | CASCADE     | NO ACTION   |

-- COMPLETE LIST OF ALL CONSTRAINTS
| table_name                  | constraint_type | constraint_name                                                 | column_name      | check_clause                                                                                                                                                                                                   | delete_rule | update_rule |
| --------------------------- | --------------- | --------------------------------------------------------------- | ---------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------- | ----------- |
| assignment_submissions      | CHECK           | 23648_26158_1_not_null                                          | null             | id IS NOT NULL                                                                                                                                                                                                 | null        | null        |
| assignment_submissions      | CHECK           | 23648_26158_2_not_null                                          | null             | assignment_id IS NOT NULL                                                                                                                                                                                      | null        | null        |
| assignment_submissions      | CHECK           | 23648_26158_3_not_null                                          | null             | student_id IS NOT NULL                                                                                                                                                                                         | null        | null        |
| assignment_submissions      | FOREIGN KEY     | assignment_submissions_graded_by_fkey                           | graded_by        | null                                                                                                                                                                                                           | SET NULL    | NO ACTION   |
| assignment_submissions      | FOREIGN KEY     | assignment_submissions_assignment_id_fkey                       | assignment_id    | null                                                                                                                                                                                                           | CASCADE     | NO ACTION   |
| assignment_submissions      | FOREIGN KEY     | assignment_submissions_student_id_fkey                          | student_id       | null                                                                                                                                                                                                           | CASCADE     | NO ACTION   |
| assignment_submissions      | PRIMARY KEY     | assignment_submissions_pkey                                     | id               | null                                                                                                                                                                                                           | null        | null        |
| assignment_submissions      | UNIQUE          | assignment_submissions_assignment_id_student_id_key             | student_id       | null                                                                                                                                                                                                           | null        | null        |
| assignment_submissions      | UNIQUE          | assignment_submissions_assignment_id_student_id_key             | assignment_id    | null                                                                                                                                                                                                           | null        | null        |
| assignments                 | CHECK           | 23648_26128_2_not_null                                          | null             | title IS NOT NULL                                                                                                                                                                                              | null        | null        |
| assignments                 | CHECK           | 23648_26128_6_not_null                                          | null             | file_url IS NOT NULL                                                                                                                                                                                           | null        | null        |
| assignments                 | CHECK           | 23648_26128_9_not_null                                          | null             | total_marks IS NOT NULL                                                                                                                                                                                        | null        | null        |
| assignments                 | CHECK           | 23648_26128_8_not_null                                          | null             | due_date IS NOT NULL                                                                                                                                                                                           | null        | null        |
